accuracy,loss,precision,recall,val_accuracy,val_loss,val_precision,val_recall,learning_rate
0.8833121061325073,0.32400697469711304,0.8833121061325073,0.8833121061325073,0.5059523582458496,1.4584232568740845,0.5059523582458496,0.5059523582458496,0.0010000000474974513
0.9523566961288452,0.12899774312973022,0.9523566961288452,0.9523566961288452,0.5110543966293335,1.4270753860473633,0.5110543966293335,0.5110543966293335,0.0010000000474974513
0.9691720008850098,0.08333103358745575,0.9691720008850098,0.9691720008850098,0.8886054158210754,0.2988750636577606,0.8886054158210754,0.8886054158210754,0.0010000000474974513
0.9696815013885498,0.08002252131700516,0.9696815013885498,0.9696815013885498,0.9396258592605591,0.18368205428123474,0.9396258592605591,0.9396258592605591,0.0010000000474974513
0.9821656346321106,0.05214177817106247,0.9821656346321106,0.9821656346321106,0.9829931855201721,0.05276654660701752,0.9829931855201721,0.9829931855201721,0.0010000000474974513
0.9803821444511414,0.04640734940767288,0.9803821444511414,0.9803821444511414,0.9362244606018066,0.2090175598859787,0.9362244606018066,0.9362244606018066,0.0010000000474974513
0.9854776859283447,0.0382840670645237,0.9854776859283447,0.9854776859283447,0.988095223903656,0.02741953171789646,0.988095223903656,0.988095223903656,0.0010000000474974513
0.9829299449920654,0.04899558797478676,0.9829299449920654,0.9829299449920654,0.9821428656578064,0.05705767124891281,0.9821428656578064,0.9821428656578064,0.0010000000474974513
0.9834395051002502,0.04097480699419975,0.9834395051002502,0.9834395051002502,0.9651360511779785,0.09618045389652252,0.9651360511779785,0.9651360511779785,0.0010000000474974513
0.9900636672973633,0.03125205636024475,0.9900636672973633,0.9900636672973633,0.9957482814788818,0.007269517984241247,0.9957482814788818,0.9957482814788818,0.0005000000237487257
